Country,Years,Avg_Actual,Avg_Shadow,Avg_Residual,RMSE,MaxAbsResid,TrendResid,Continent,IncomeGroup
Niger,7,11.571428571428571,12.485354187308607,-0.9139256158800355,3.9348689925485663,6.550813554028885,-1.2464825929425813,Africa,Low_Income
Togo,7,16.714285714285715,17.58963280608844,-0.8753470918027249,1.2486030220866706,2.2018243973795713,0.07986108223220019,Africa,Low_Income
Venezuela,26,12.423076923076923,13.07578784686175,-0.6527109237848255,6.427514954349936,13.5,-0.280294928541973,South_America,Upper_Middle_Income
Hungary,26,37.86538461538461,38.33069643127515,-0.46531181589053744,5.75382309302484,12.166388192780559,-0.49559496432509464,Europe,High_Income
Armenia,20,24.975,25.266634224284818,-0.29163422428481917,5.152941913691287,8.954541443408164,-0.2538922794524689,Asia,Upper_Middle_Income
Israel,26,46.78846153846154,47.04217506355376,-0.2537135250922266,1.22181961190825,2.3095351761946787,0.030271792289558164,Asia,High_Income
Qatar,26,50.13461538461539,50.34049655531707,-0.20588117070168258,4.561809195811846,10.582907091024758,0.5652567614064758,Asia,High_Income
Nicaragua,26,15.692307692307692,15.83527376533735,-0.14296607302965517,3.0242791625367826,6.496173739556632,-0.13698431553085727,North_America,Lower_Middle_Income
Japan,26,51.80769230769231,51.779857894832915,0.02783441285939503,5.048305734878248,8.341877693360026,-0.4953399317209528,Asia,High_Income
Bolivia,26,19.26923076923077,19.17445331111043,0.09477745812033743,5.134824082171864,8.828829428629795,-0.48996196574400414,South_America,Lower_Middle_Income
Tanzania,6,19.0,18.730933438191013,0.2690665618089903,1.4525441879891567,2.4088248276105233,0.6416124194160033,Africa,Lower_Middle_Income
Burkina Faso,22,16.5,16.207386233918424,0.2926137660815778,2.580759704957082,5.801175228444988,-0.42883454935072574,Africa,Low_Income
Norway,26,60.0,59.685027022090516,0.3149729779094827,0.6175043350207814,1.89689487269942,-0.0758757949079768,Europe,High_Income
Pakistan,26,15.461538461538462,15.00230119629224,0.45923726524622277,3.508438373771534,7.030737969630984,-0.25398039563729236,Asia,Lower_Middle_Income
Switzerland,26,60.0,59.48182347050202,0.5181765294979827,0.9953806996291946,3.4055823825539733,-0.061146096879267586,Europe,High_Income
Luxembourg,26,60.0,59.455294874659316,0.5447051253406904,1.0866440421184866,3.3615729607007054,-0.06311421827261654,Europe,High_Income
Senegal,26,21.23076923076923,20.66635511593072,0.5644141148385109,1.8060392301905208,5.066213929057955,-0.30305837426769316,Africa,Lower_Middle_Income
Tajikistan,9,15.333333333333334,14.683895878062126,0.6494374552712073,1.9006709744156203,2.984956345059679,0.13810878283686967,Asia,Lower_Middle_Income
Cameroon,23,16.23913043478261,15.430262125948552,0.8088683088340592,2.776923265266587,7.014559072553663,-0.2990469477210786,Africa,Lower_Middle_Income
Hong Kong,26,53.48076923076923,52.63076463500003,0.850004595769205,3.766577850546722,7.149525654500316,0.21681637810127882,Asia,High_Income
Italy,26,44.88461538461539,44.01038352019465,0.8742318644207345,8.032578741747935,10.990692510831238,-0.5606058098384622,Europe,High_Income
El Salvador,26,23.53846153846154,22.61247666115497,0.9259848773065674,8.745281152897443,14.721696030967227,-0.8067792482576972,North_America,Lower_Middle_Income
Rwanda,14,18.964285714285715,18.028961954631548,0.9353237596541658,1.5568840976093603,3.7033029112898355,0.018895040632165124,Africa,Low_Income
Angola,16,18.5625,17.314284228675053,1.2482157713249467,4.92328939089506,12.871894847225244,-0.20682300106749713,Africa,Lower_Middle_Income
Benin,9,21.0,19.71975679296054,1.2802432070394625,1.6062176982453005,3.1132307051072807,0.42432450313229,Africa,Lower_Middle_Income
Tunisia,26,27.634615384615383,26.268825740445703,1.3657896441696817,9.750972542331093,17.36382892549238,-1.0269159504866365,Africa,Lower_Middle_Income
Panama,26,32.94230769230769,31.556942158766272,1.385365533541426,2.777291431040635,5.534609036252782,-0.11173207946445914,North_America,High_Income
South Korea,26,48.17307692307692,46.73040570272223,1.4426712203546954,3.7696228450926155,9.0986536071227,0.6358910769298999,Asia,High_Income
Kenya,20,19.425,17.939969250639116,1.485030749360885,4.608671743270805,7.718708150760804,-0.4414060574468595,Africa,Lower_Middle_Income
Nigeria,20,19.65,18.056115337534077,1.5938846624659209,3.205056060142817,5.095085690949443,-0.3406138992688699,Africa,Lower_Middle_Income
Denmark,26,59.94230769230769,58.26008888753192,1.6822188047757685,2.2744034029183773,5.130107485992248,-0.128504754621419,Europe,High_Income
Lithuania,26,41.61538461538461,39.80790690923466,1.80747770614996,4.679559784971564,9.277358775398923,0.12585738824891293,Europe,High_Income
Ethiopia,12,14.5,12.64021908379518,1.8597809162048158,7.2175841951650535,10.537558202336212,-1.5890381530642204,Africa,Low_Income
Azerbaijan,20,30.375,28.48311560883696,1.8918843911630454,4.000161793808442,10.723292476158626,-0.13637071407811763,Asia,Upper_Middle_Income
Finland,26,58.65384615384615,56.69795869522277,1.9558874586233768,2.682440521053932,4.386684981494845,-0.12654760414949406,Europe,High_Income
Egypt,26,23.25,21.241069291420068,2.008930708579935,6.405973896276414,12.70206925814841,-0.5627462348277694,Africa,Lower_Middle_Income
Liechtenstein,26,60.0,57.78152295772623,2.2184770422737614,3.5414182115953268,10.07453850675482,-0.21911064277468767,Europe,High_Income
