ISO3,Year,RuleOfLaw
MUS,2000,0.953685
MWI,2000,-0.413623
MYS,2000,-0.026461
NAM,2000,0.445161
NER,2000,-0.895342
NGA,2000,-1.225692
NIC,2000,-0.890698
NLD,2000,1.832769
NOR,2000,1.912612
NPL,2000,-0.350936
NRU,2000,0.867438
NZL,2000,1.840551
OMN,2000,0.39856
PAK,2000,-1.063494
PAN,2000,-0.296387
PER,2000,-0.759766
PHL,2000,-0.476798
PLW,2000,0.867438
PNG,2000,-0.68267
POL,2000,0.650493
PRI,2000,0.787723
PRK,2000,-1.011052
PRT,2000,1.094653
PRY,2000,-1.026622
PSE,2000,-0.313949
QAT,2000,0.455052
ROU,2000,-0.292459
RUS,2000,-1.037057
RWA,2000,-1.376078
SAU,2000,-0.23575
SDN,2000,-1.621599
SEN,2000,-0.045495
SGP,2000,1.465851
SLB,2000,0.405896
SLE,2000,-1.088117
SLV,2000,-0.86675
SMR,2000,0.867438
SOM,2000,-2.32001
SRB,2000,-1.40884
STP,2000,0.132105
SUR,2000,-0.104933
SVK,2000,0.234493
SVN,2000,0.962445
SWE,2000,1.885665
SWZ,2000,-0.211646
SYC,2000,0.465423
SYR,2000,-0.54959
TCD,2000,-1.092978
TGO,2000,-0.834911
THA,2000,0.619008
TJK,2000,-1.299934
TKM,2000,-1.330025
TLS,2000,-0.166168
TON,2000,0.867438
TTO,2000,0.435982
TUN,2000,-0.257358
TUR,2000,-0.043695
TUV,2000,0.867438
TWN,2000,0.865242
TZA,2000,-0.384225
UGA,2000,-0.752022
UKR,2000,-1.100542
URY,2000,0.514287
USA,2000,1.686117
UZB,2000,-1.201043
VCT,2000,0.867438
VEN,2000,-0.879201
VNM,2000,-0.614835
VUT,2000,0.94292
WSM,2000,0.719049
XKX,2000,-0.543784
YEM,2000,-1.455446
ZAF,2000,-0.012372
ZMB,2000,-0.416429
ZWE,2000,-1.559695
AND,2002,0.983961
AFG,2002,-1.983806
AGO,2002,-1.496164
ALB,2002,-0.754281
ARE,2002,0.517663
ARG,2002,-0.804874
ARM,2002,-0.344753
ATG,2002,0.971788
AUS,2002,1.754067
AUT,2002,1.911451
AZE,2002,-0.849332
BDI,2002,-1.288453
BEL,2002,1.302596
BEN,2002,-0.390966
BFA,2002,-0.802362
BGD,2002,-1.123872
BGR,2002,-0.014921
BHR,2002,0.365001
BHS,2002,1.449956
BIH,2002,-0.49279
BLR,2002,-0.927145
BLZ,2002,0.182011
BMU,2002,1.052554
BOL,2002,-0.383138
BRA,2002,-0.300531
BRB,2002,1.500035
BRN,2002,0.781555
BTN,2002,-0.160652
BWA,2002,0.639954
CAF,2002,-0.917907
CAN,2002,1.776434
CHE,2002,1.905749
CHL,2002,1.326463
CHN,2002,-0.650527
CIV,2002,-1.378781
CMR,2002,-1.299257
COD,2002,-1.971933
COG,2002,-1.131097
COL,2002,-0.807043
COM,2002,-0.919879
CPV,2002,0.39262
CRI,2002,0.600659
CUB,2002,-1.218589
CYM,2002,1.307676
CYP,2002,1.144043
CZE,2002,0.853792
DEU,2002,1.69641
DJI,2002,-0.943988
DMA,2002,0.776496
DNK,2002,1.965311
DOM,2002,-0.712481
DZA,2002,-0.634491
ECU,2002,-0.776576
EGY,2002,-0.127375
ERI,2002,-1.013834
ESP,2002,1.182819
EST,2002,0.752486
ETH,2002,-1.060279
FIN,2002,2.033241
FJI,2002,-0.089078
FRA,2002,1.162323
FSM,2002,0.885597
GAB,2002,-0.308883
GBR,2002,1.649095
GEO,2002,-0.986467
GHA,2002,-0.067398
GIN,2002,-1.156292
GMB,2002,-0.133018
GNB,2002,-1.256251
GNQ,2002,-1.329271
GRC,2002,0.80246
GRD,2002,0.385912
GTM,2002,-1.029783
GUF,2002,0.797433
GUY,2002,-0.404658
HKG,2002,1.24716
HND,2002,-0.895261
HRV,2002,-0.068866
HTI,2002,-1.843095
HUN,2002,0.850433
IDN,2002,-1.135619
IND,2002,-0.043406
IRL,2002,1.632025
IRN,2002,-1.046668
IRQ,2002,-1.739466
ISL,2002,1.88409
ISR,2002,1.00027
ITA,2002,0.776886
JAM,2002,-0.293559
JOR,2002,-0.115742
JPN,2002,1.145769
KAZ,2002,-1.005477
KEN,2002,-0.962291
KGZ,2002,-0.694695
KHM,2002,-1.276168
KIR,2002,0.885597
KNA,2002,0.885597
KOR,2002,0.793191
KWT,2002,0.598499
LAO,2002,-1.537303
LBN,2002,-0.406555
LBR,2002,-1.890774
LBY,2002,-1.380143
LCA,2002,0.885597
LIE,2002,1.362372
LKA,2002,0.23855
LSO,2002,0.196391
LTU,2002,0.24798
LUX,2002,1.807882
LVA,2002,0.219283
MAC,2002,0.542312
MAR,2002,-0.15808
MCO,2002,0.885597
MDA,2002,-0.538461
MDG,2002,-0.329961
MDV,2002,-0.403131
MEX,2002,-0.287825
MHL,2002,0.885597
MKD,2002,-0.623721
MLI,2002,-0.322184
MLT,2002,1.471397
MMR,2002,-1.827783
MNE,2002,0.234814
MNG,2002,0.145054
MOZ,2002,-0.660718
MRT,2002,-0.557123
MTQ,2002,1.052554
MUS,2002,0.959685
MWI,2002,-0.462183
MYS,2002,0.223244
NAM,2002,0.3588
NER,2002,-0.802562
NGA,2002,-1.526156
NIC,2002,-0.625841
NLD,2002,1.739344
NOR,2002,1.88422
NPL,2002,-0.671497
NRU,2002,0.885597
NZL,2002,1.833268
OMN,2002,0.517538
PAK,2002,-0.938697
PAN,2002,-0.090547
PER,2002,-0.535301
PHL,2002,-0.391249
PLW,2002,0.885597
PNG,2002,-0.545929
POL,2002,0.546949
PRI,2002,0.797433
PRK,2002,-1.429591
PRT,2002,1.237107
PRY,2002,-1.119919
PSE,2002,-0.506804
QAT,2002,0.548949
ROU,2002,-0.254425
RUS,2002,-0.936768
RWA,2002,-1.094565
SAU,2002,-0.146161
SDN,2002,-1.302049
SEN,2002,0.031135
SGP,2002,1.43361
SLB,2002,0.725073
SLE,2002,-1.487197
SLV,2002,-0.705192
SMR,2002,0.885597
SOM,2002,-2.506325
SRB,2002,-0.890929
STP,2002,-0.177532
SUR,2002,-0.14129
SVK,2002,0.250183
SVN,2002,0.822552
SWE,2002,1.900127
SWZ,2002,-0.571474
SYC,2002,0.481313
SYR,2002,-0.739313
TCD,2002,-1.160717
TGO,2002,-1.05463
THA,2002,0.362596
TJK,2002,-0.895379
TKM,2002,-1.006261
TLS,2002,-0.702338
TON,2002,0.885597
TTO,2002,0.458659
TUN,2002,-0.248542
TUR,2002,-0.124532
TUV,2002,0.885597
TWN,2002,0.857191
