n_obs,RMSE,MAE,Bias_actual_minus_shadow,R2,Spearman,Pearson,Within_3pts,Within_6pts,Country
22,9.954854278975066,9.44771053034093,-9.44771053034093,-54.36966912365257,-0.1426214287640627,0.002685688569897767,0.0,0.3181818181818182,Bosnia and Herzegovina
26,9.96030163121509,8.732843078521617,8.607322864373781,-2.1584587099626917,0.5194550344388144,0.45102001704168165,0.23076923076923078,0.3076923076923077,Philippines
26,10.126803626834617,8.966865747280245,-8.966865747280245,-6.0603171959277145,-0.010232571695155238,0.025540568734592664,0.15384615384615385,0.34615384615384615,Jamaica
26,10.198563504167774,9.257056691196585,3.4337536136104254,-0.36435926675589503,-0.5968853918763654,-0.6338296863973207,0.07692307692307693,0.2692307692307692,Spain
26,10.494559228066022,9.154633723379884,-9.026259687271274,-1.5139889519694991,0.779159462668547,0.5882654640444506,0.11538461538461539,0.19230769230769232,Uruguay
26,10.558823538512424,7.509734399204339,-4.944998939561576,-0.15458052046375648,0.558766666167719,0.42383511959907394,0.38461538461538464,0.6153846153846154,Cyprus
26,10.71355264830009,9.782271071692072,-1.1275197889110444,-0.4109070479539392,-0.7001495155030981,-0.7176288267411582,0.07692307692307693,0.23076923076923078,Portugal
26,10.774431134755766,10.68558922811974,10.68558922811974,-71.66271815153134,0.21912648372269622,0.2620168374913963,0.0,0.0,Taiwan
26,10.81236781910826,9.26951159525491,-9.26951159525491,-10.508567547756666,-0.4828451383437408,-0.6024725853597852,0.038461538461538464,0.38461538461538464,Costa Rica
15,10.979828384954711,10.45435997692611,-10.45435997692611,-26.030634834766186,-0.33902022922211084,-0.3247400101064897,0.0,0.13333333333333333,Aruba
19,11.169380379007205,8.996424503783938,-6.983544691151678,-1.3594800763008958,-0.5597976800661276,-0.46175959803985217,0.15789473684210525,0.3684210526315789,Belarus
21,11.369647277606166,9.176653561832623,-9.176653561832623,-2.125672381762491,-0.15219119206437492,0.0762351852470004,0.14285714285714285,0.42857142857142855,Sri Lanka
11,11.375325386388793,11.227633690448046,-11.227633690448046,-56.989486463676975,-0.05773502691896258,0.06495820068468507,0.0,0.0,Solomon Islands
26,11.425903806540248,10.398905416765038,-10.293721593761642,-3.70756194539426,0.5434331486670678,0.46802058525594553,0.038461538461538464,0.19230769230769232,Suriname
26,11.729247751357592,10.949009572375505,-10.753987514307333,-12.54315871580072,0.29688555602197164,0.18859095879177845,0.038461538461538464,0.07692307692307693,Ecuador
26,11.97452792885037,8.433375525166749,-6.538242389145353,-0.40103822309409387,0.2292029978360747,0.1432808278432663,0.4230769230769231,0.5384615384615384,Bahrain
16,12.257345307826403,10.372729587226633,-10.372729587226633,-2.823363759814633,-0.3086683596743151,-0.016794246240304782,0.0625,0.375,Ghana
26,12.606285688222595,9.956543716357508,-9.387749848272275,-1.6696204681685094,-0.2682327381242639,-0.07867439152228375,0.3076923076923077,0.34615384615384615,Iceland
14,12.614645336410533,11.488851425367086,-11.488851425367086,-2.902569855459347,0.6507251519983098,0.7111799637376407,0.0,0.21428571428571427,Gabon
26,12.885847262709222,11.51743272364637,-11.51743272364637,-3.532417816991172,0.39629515786180436,0.4117253704968655,0.07692307692307693,0.15384615384615385,Argentina
10,13.769545545329917,11.888521788479082,-11.888521788479082,-12.504300892087963,-0.7566444492037343,-0.802286724925851,0.1,0.3,Maldives
18,14.242815642858332,13.922483247494322,-13.922483247494322,-51.163433626515705,-0.2783595822863307,-0.2895795119834627,0.0,0.0,Cape Verde
